"EMPRESA"|"ITEM_ESTOQUE"|"ITEM_ESTOQUE_PUB"|"DES_ITEM_ESTOQUE"|"COD_EAN_GTIN"
2|75|"1474"|LANTERNA LATERAL DIR|SEM GTIN
2|81|"1476"|AMORTECEDOR DIANT. L.E- NISSAN SENTRA TURBO|"7891579872111"
2|84|"1477"|ARTICULACAO SENTRA|"7899013322338"
2|87|"1478"|COXIM AMORTECEDOR SENTRA|"7899850419581"
2|65|"1479"|COXIM INF. CAMBIO SENTRA|"7893026200119"
2|1.488|"148"|MANGUEIRA ENTRADA TBI|SEM GTIN
2|71|"1480"|LANTERNA PLACA - CIVIC 1.7|SEM GTIN
2|77|"1481"|BUCHA SETOR SENTRA|SEM GTIN
2|80|"1482"|CABO FREIO MAO L.D (SN) - FIT 15/...|SEM GTIN
2|78|"1484"|PORCA RODA CROMADA - MEDIA|SEM GTIN
2|76|"1485"|FILTRO AR SPIN|SEM GTIN
2|86|"1486"|SENSOR NIVEL - CRV 07A11|"7898694774221"
2|1.894|"1486135"|RADIADOR HONDA - CIVIC EX / LX 1.7 16V 2001 A 2005 / COM AR / MANUAL - PC100478|SEM GTIN
2|92|"1487"|TRANCA TAMPA TRAS. - FIT SN|SEM GTIN
2|95|"1489"|SENSOR ARVORE PRIMARIA CAMBIO|SEM GTIN
2|1.493|"149"|MANGUEIRA TBI - CRV|SEM GTIN
2|96|"1490"|VARETA OLEO - CIVIC 01/05|SEM GTIN
2|98|"1491"|REPARO PINCA FREIO|SEM GTIN
2|82|"1492"|TAMPA PASSAGEM ARREFECIMENTO - HRV|SEM GTIN
2|85|"1493"|CABO 70MM|SEM GTIN
2|91|"1494"|TRIZETA CAMBIO L.E - CIVIC 1.8 AUTO 07/11 22 DENTES ELO32MM|"7890903089515"
2|94|"1495"|CENTRAL DIRECAO - CRV 07/11 39980SWWG02M1.|SEM GTIN
2|83|"1496"|PONTA EIXO COMPRESSOR - FIT 2008|SEM GTIN
2|88|"1497"|BUCHA LEQUE CARRETEL - CIVIC 01/07|"7894325101459"
2|97|"1498"|VALVOLINE HP GEAR 80W90 GL-5|"7895373310237"
2|102|"1499"|LENTE PLACA ORIG.|SEM GTIN
2|838|"15"|ARRUELA DRENO CAIXA AT ORIGINAL|SEM GTIN
2|1.194|"2770"|PALHETA FERRO ENC. GANCHO - NEW_FIT - CITY 14A17 - FIT 03A08 - HRV|"7908189354378"
2|1.196|"2772"|ARRUELA DRENO CAIXA AT|SEM GTIN
